Razão Social,Fantasia,C.N.P.J.,I.E.,Endereço,Complemento,Número,Bairro,Cidade,CEP,UF
LG DE CAMPOS TRANSPORTES,LG DE CAMPOS TRANSPORTES,35.109.406/0001-91,126.893.110.116,RUA DOMINGOS PACHECO,DR4 BX14,225,JARDIM JULIETA,SAO PAULO,02162-020,SP
LEOFRAN TRANSPORTES LTDA,LEOFRAN TRANSPORTES LTDA,02.259.840/0003-60,116284263113,RUA CABO BASILIO ZEQUIM JUNIOR,A,60,PARQUE NOVO MUNDO,SAO PAULO,02180-000,SP
LEOFRAN TRANSPORTES LTDA,LEOFRAN TRANSPORTES LTDA,02.259.840/0001-07,482025502110,RODOVIA WALTER MANZATO,,2400,ZONA DE PRODUCAO INDUSTRIAL CINCO (,NOVA ODESSA,13385-450,SP
LEMOS GARCIA TRANSPORTES LTDA - EPP,LEMOS GARCIA,89.362.693/0003-38,116.613.709.110,AVENIDA CARLOS DE CAMPOS,,1022,PARI,SAO PAULO,03028-000,SP
LEMAS REZENDE TRANSPORTES LTDA,LEMA REZENDE,11.115.632/0002-06,145.455.123.117,AVENIDA TENENTE AMARO FELICISSIMO DA SILVEIRA,GALPAO 13B CONDOMINIO DELA VOLPE,SN ,PARQUE NOVO MUNDO,SAO PAULO,02177-010,SP
LEITE EXPRESS TRANSPORTE EIRELI,LEITE EXPRESS TRANSPORTE EIRELI,07.020.236/0006-43,796477209117,RUA MINISTRO MARCOS FREIRE,,250,RESIDENCIAL PARQUE CUMBICA,GUARULHOS,07174-270,SP
LEAO IND E COM DE ESPELHOS E PLASTICOS LTDA ,ESPELHOS LEÃO ,62.356.969/0001-57,336.366.772.117,RUA ECHAPORA,,74,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-090,SP
LDB LOGISTICA E TRANSPORTES LTDA,LDB LOGISTICA E TRANSPORTES LTDA,16.906.199/0002-32,796.367.096.110,AV PAPA JOAO PAULO I,GALPAO: 01;,6967,RESIDENCIAL PARQUE CUMBICA,GUARULHOS,07174-005,SP
LATORRE TRANSPORTES E LOGISTICA LTDA,LATORRE TRANSPORTES ,03.134.879/0001-52,336.821.016.116,VIELA URGA,,370,VILA NOVA BONSUCESSO,GUARULHOS,07175-332,SP
LASTRO TRANSPORTES LTDA,LASTRO TRANSPORTES LTDA,00.525.563/0001-01,336.887.921.113,AV. CONDEAL,,175,PARQUE SAO LUIS,GUARULHOS,07170-550,SP
LASIL COMERCIO E TRANSPORTES LTDA,TRANS LASIL,62.877.345/0001-85,142561535113,R PROFª MARIA JOSÉ BARONE FERNANDES,,1071,VL MARIA,SAO PAULO,02117-022,SP
LANGBEHN LOG TRANSPORTES E LOGISTICA LTDA,FCB BRASIL,24.620.388/0001-91,795708493118,RUA SANTO EXPEDITO,GALPAO5 SALA 03,660,PARQUE INDUSTRIAL DO JARDIM SAO GER,GUARULHOS,07140-040,SP
LANDRICO MINAS LTDA.,LANDRICO MINAS LTDA.,07.876.409/0002-04,ISENTO,RUA SARGENTO RODOVAL CABRAL TRINDADE,,163,PARQUE NOVO MUNDO,SAO PAULO,02190-040,SP
LALAMOVE TECNOLOGIA (BRASIL) LTDA.,LALAMOVE TECNOLOGIA (BRASIL) LTDA.,34.538.625/0001-23,ISENTO,AVENIDA DOMINGOS ODALIA FILHO,CONJ 804-824,301,CENTRO,OSASCO,06010-067,SP
LABARCA TRANSPORTES LTDA,LABARCA TRANSPORTES,88.380.498/0002-97,206058971117,RUA POLICON,,550,STA CECILIA,BARUERI,06465-80 ,SP
L4B LOGISTICA LTDA.,L4B LOGISTICA LTDA.,24.217.653/0006-08,241111449111,AVENIDA RIBEIRAO DOS CRISTAIS (G PRETO),GALPAO100 BLOCO Q E R,800,EMPRESARIAL PAINEIRA (JORDANESIA) ,CAJAMAR,07775-240,SP
L4B LOGISTICA LTDA.,LOGGI XD,24.217.653/0001-95,140538606113,ALAMEDA SANTOS,ANDAR 1 AO 7 E 10,2400,CERQUEIRA CESAR,SAO PAULO,01418-200,SP
L. SCHUSSLER & CIA LTDA,L. SCHUSSLER & CIA LTDA,15.404.147/0002-03,127039619114,RUA AREIAL,,90,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-020,SP
L. SCHUSSLER & CIA LTDA,L. SCHUSSLER & CIA LTDA,15.404.147/0001-14,127.739.921.113,RUA AREIAL,,90,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-020,SP
L. M. DA SILVA TRANSPORTES - ME,TRANSMESQUITA,26.879.820/0002-70,796.630.902-112,RUA MERCES,PLATAFORMA C,250,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07223-050,SP
L K C TRANSPORTES EIRELI,L K C TRANSPORTES EIRELI,09.111.037/0002-42,796.478.650.115,R ANGATUBA,,273,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07220-030,SP
L E TRANSPORTADORA LTDA (BELA VISTA),L E TRANSPORTADORA LTDA (BELA VISTA),47.373.254/0001-19,149857402112,RUA SOLDADO ANESIO ANTAO FERREIRA ,,123,JARDIM JAPÃO,SAO PAULO,02142-000,SP
L E GRATAO TRANSPORTES LTDA. ,TRANSPRESS L E GRATAO TRANSPORTES LTDA ME,10.220.816/0001-84,336.851.884.116,RUA ARTHUR FERREIRA DOS SANTOS,,280,JARDIM SANTA LIDIA,GUARULHOS,07140-003,SP
KUDO E-COMMERCE CAVUCA,KUDO E-COMMERCE CAVUCA,20.200.813/0001-32,647775370110,RUA DIONIZIO ZACARON -,QUADRA03 LOTE 04,2315,CENTRO INDUSTRIAL PASCUTTI ,SAO JOSE DO RIO PRETO,15077-382,SP
KSP TRANSPORTES LTDA,KSP TRANSPORTES LTDA,55.428.453/0001-05,137.613.958.113,RUA GUARARAPES,GALPAO 02     ,59,VILA SAO RAFAEL,GUARULHOS,07053-122,SP
KR TRANSPORTES E LOGISTICA LTDA.,KR TRANSPORTES E LOGISTICA LTDA.,05.597.965/0001-27,336.949.235.116,RUA MINISTRO MARCOS FREIRE ,N 5297 ACESSO PELA R. MIN. MARCOS FREIRE 250 CEP 07174-270,250,RESIDENCIAL PARQUE CUMBICA,GUARULHOS,07174-005,SP
KN PRODUTOS AUTOMOTIVOS LTDA ME,KN BRIDA,13.670.619/0001-55,535262743110,RUA OLAVO BILAC,,69,VERDE,PIRACICABA,13424-405,SP
KM TRANSPORTES RODOVIARIOS DE CARGAS LTDA,KM TRANSPORTES RODOVIARIOS DE CARGAS,03.011.765/0002-04,116236375117,RUA LIDICE,GALPÃP 7 DENTRO COND. BELLA VOLPE,22,PARQUE NOVO MUNDO ,SAO PAULO,02174-010,SP
KM CARGO MULTIMODAL E LOGISTICA LTDA.,KM CARGO MULTIMODAL E LOGISTICA LTDA.,05.342.379/0001-31,796.176.227.118,RUA ESTRELA DO OESTE,BLOCO C SALA 1,124,PARQUE INDUSTRIAL DO JARDIM SAO GER,GUARULHOS,07140-030,SP
KLIN LOGISTICA EIRELI EPP,KLIN LOG,08.989.198/0002-70,336827690111,AV GUINLE,,740,CUMBICA,GUARULHOS,07221-070,SP
KL MOREIRA TRANSPORTES LTDA,KL MOREIRA TRANSPORTES LTDA,10.156.893/0002-01,127322932117,RUA ENGENHEIRO ALBERT LEIMER,,450,PARQUE INDUSTRIAL DO JARDIM SAO GER,GUARULHOS,07140-020,SP
KIELING MULTIMODAIS DE TRANSPORTES LTDA,KIELING MULTIMODAIS ,02.600.037/0002-67,336.652.288.118,AVENIDA MONTEIRO LOBATO, GLP 4-B C EMP AP TOWN II DOCAS 29/30,4550,CIDADE JARDIM CUMBICA,GUARULHOS,07180-000,SP
KGR TRANSPORTE DE CARGAS EIRELI,KGR TRANSPORTE DE CARGAS EIRELI,29.576.292/0002-78,796.712.314.118,RUA BENEDITO CLIMERIO DE SANTANA,GALPAOP3BG,599,VARZEA DO PALACIO,GUARULHOS,07034-080,SP
KARISA TRANSPORTES RODOFLUVIAL LTDA (USAR O COD 5335),KARISA TRANSPORTES RODOFLUVIAL,14.410.508/0001-72,153504501,RODOVIA SANTAREM-CUIABA,,S/N,ESPERANCA,SANTAREM,68030-000,PA
KARINA IND. PLASTICOS LTDA,KARINA IND. PLASTICOS LTDA,51.254.159/0001-73,336.122.330-119,AVENIDA ANTRANIG GUEREKMEZIAN,,788,JARDIM CUMBICA,GUARULHOS,07240-130,SP
KAMART COMERCIAL LTDA-EPP,KAMART COMERCIAL LTDA-EPP,02.980.789/0001-10,115338713116,RUA ZINA AITA,,14,SAO JOAO CLIMACO,SAO PAULO,04241-050,SP
K.D.L & CIA LTDA -ME,F 1 TRANSPORTE,20.288.444/0004-24,796.260.399.115,R: SISA,,680,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07221-030,SP
"K & D COMERCIO, IMPORTACAO E EXPORTACAO EIRELI ","K & D COMERCIO, IMPORTACAO E EXPORTACAO EIRELI",00.018.314/0001-11,114087744110,RUA CLIMACO BARBOSA,,132,CAMBUCI,SAO PAULO,01523-000,SP
JZ TRANSPORTES  LTDA ME 2 ,JZ TRANSPORTES  LTDA ME 2 ,11.763.600/0001-28,336932021114,RUA ALTEMAR DUTRA,,200,RESIDENCIAL PARQUE CUMBICA,GUARULHOS,07174-050,SP
JV CARGO TRANSPORTES LTDA,JVTRANSPORTES,20.305.653/0002-77,129.616.552.115,RUA DOS CAMPINEIROS,,268,MOOCA,SAO PAULO,03167-020,SP
JURUA LOGISTICA E TRANSPORTES LTDA - ME,JURUA LOGISTICA E TRANSPORTES LTDA - ME,07.367.581/0001-43,117038949116,R CABO NORBERTO ENRIQUE WEBER,,65,PARQUE NOVO MUNDO,SAO PAULO,02147-040,SP
JULIANO NOGUEIRA ROCHA,J. LOG,20.610.118/0001-49,797073209118,RUA ANNA PINTO LUDOVICE,,328,.,RIBEIRÃO PRETO,00000-000,SP
JULIANA C R  TRANSPORTES EIRELI,JULIANA C R  TRANSPORTES EIRELI,13.425.351/0001-96,379218543119,AVENIDA UBERABA,SALA 01,459,VILA VIRGINIA,ITAQUAQUECETUBA,08573-070,SP
JSL S/A. ,JSL S/A. ,52.548.435/0067-03,645.468.920.110,RUA ESTACIO JOSE DO NASCIMENTO,,26,JARDIM LIMOEIRO,SAO JOSE DOS CAMPOS,12241-360,SP
JR SEVERO TRANSPORTES LTDA - ME,JR SEVERO TRANSPORTES LTDA - ME,04.731.862/0001-45,143586903110,RUA ESTADO DO CEARA,,732,JARDIM EGLE,SAO PAULO,03936-000,SP
JOTAENE COPIADORA S/C LTDA,JOTAENE COPIADORA S/C LTDA,67.180.570/0001-81,ISENTO,AV BRIGADEIRO FARIA LIMA,,2423,CENTRO,SÃO PAULO,00000-000,SP
JOSE VICENTE DOS SANTOS 14258810843,JVC TRANSPORTES,37.100.935/0001-50,ISENTO,RUA OSVALDO GALLERANI,CASA,909,CIDADE SATELITE IRIS,CAMPINAS,13059-675,SP
JOSE EDJANIO FREITAS DO NASCIMENTO - EPP,LOG 7 TRANSP E LOGIS (SP) TOTAL TRANSP (FILIAL PERNAMBUCO),19.343.827/0001-26,796.169.202.112,RUA SIMAO PEREIRA,,176,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07223-140,SP
JOSE COSTA DE SOUZA JUNIOR,TRANSUNIAO,14.027.977/0002-98,145.643.259.114,R DOUTOR ALMEIDA LIMA,,341,BRAS,SAO PAULO,03046-010,SP
JOSE APARECIDO BORGES,JOSE APARECIDO BORGES,,,"RUA BAHIA, 627",,627,CENTTRO,VALENTIM GENTIL,00000-000,SP
JORTEK TRANSPORTES E LOGISTICA LTDA - EPP,JORTEK TRANSP E COMER. ,04.805.994/0001-74,336.680.741.110,RUA JOAO RANIERI,,429,JARDIM FATIMA,GUARULHOS,07177-120,SP
JORADO TRANSPORTE LTDA ,JORADO TRANSPORTE,26.339.044/0002-15,113.871.488.117,RUA PAULO EMILIO,LOTE 02 PARTE QUADRA6,55,JARDIM JULIETA,SAO PAULO,02162-040,SP
JOLEEMAX TRANSPORTADORA LTDA,JOLEEMAX TRANSPORTADORA LTDA,38.456.294/0002-14,127.601.966.119,R MINEIROS,BRCAO B,148,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07223-190,SP
JOLEELOG TRANSPORTES,JOLEELOG TRANSPORTES,10.517.853/0002-30,796.443.067.119,RUA MINEIROS,,148,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-078,SP
JOFER TRANSPORTES LIMITADA ,JOFER TRANSPORTES LIMITADA ,58.528.340/0001-70,244314191111,RUA JULIO REQUENA JUNIOR,,84,JARDIM AIRES DA COSTA,CAMPINAS,13052-063,SP
JOAO AURELIANO MARQUES DA SILVA & FILHO,JOAO AURELIANO MARQUES DA SILVA & FILHO,49.166.572/0001-34,181012751116,R GONCALVES DIAS,,707,CENTRO,ARARAQUARA,14801-290,SP
JJ TRANSPORTES,JJ TRANSPORTES,39.658.150/0003-94,154.342.053.113,AVENIDA MARCOS PAULO GONCALVES,,252,VILA NOVA BONSUCESSO,GUARULHOS,07175-120,SP
JHC TRANSPORTES E CARGAS EIRELI - ME,JHC TRANSPORTES E CARGAS EIRELI - ME,05.484.892/0002-48,796156537114,R SOLEDADE,,345,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-210,SP
JEOMAR TRANSPORTES LTDA,JEOMAR TRANSPORTES LTDA,15.001.850/0001-81,336961661110,AVENIDA GUINLE,,1277,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-130,SP
JEOMAR TRANSPORTES LTDA ,JEOMAR TRANSPORTES LTDA,15.001.850/0003-43,796.717.724.116,RUA MURUTU,,644,JARDIM SILVESTRE,GUARULHOS,07243-150,SP
JEF TRANSPORTES RODOVIARIOS EIRELI,JEF TRANSPORTES RODOVIARIOS EIRELI,29.264.107/0004-71,188.123.169.112,RUA NOSSA SENHORA OPERARIA,,485,VILA GUILHERME,SAO PAULO,02060-010,SP
"JD ACO, INDUSTRIA E COMERCIO LTDA.","JD ACO, INDUSTRIA E COMERCIO",02.419.903/0006-41,718.268.001.113,AVENIDA OCTAVIO PASCHOAL PENACHIONI,,3669,DISTRITO INDUSTRIAL VALDEVIR DAVANC,VOTUPORANGA,15508-502,SP
JC SERVIÇOS DE TRANSPORTE LTDA,JC SERVIÇOS DE TRANSPORTE LTDA,05.077.257/0001-65,ISENTO,AV ARIO BARNABE ,,.,.,INDAIATUBA,00000-000,SP
JAVALLI TRANSPORTES,JAVALLI TRANSPORTES ,88.610.266/0005-20,796.137.611.110,RUA JACOFER,,321,JARDIM PEREIRA LEITE,SAO PAULO,02712-070,SP
JATOLOG TRANSPORTES E LOGISTICA LTDA,JATOLOG TRANSPORTES E LOGISTICA LTDA,17.805.062/0001-73,796082710119,AV:MONTEIRO,,241,CUMBICA,GUARULHOS,07224-000,SP
JATEX TRANSPORTES LTDA,JATEX TRANSPORTES LTDA,39.124.797/0001-74,336.428.839.111,R ANGATUBA,LOTE 05 QUADRA02,177,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07220-030,SP
JANAUBA TRANSPORTE E LOGISTICA LTDA ME,JANAUBA,13.787.682/0002-57,796061493119,AV: PATOS,,1137,JD.CUMBICA,GUARULHOS,07222-010,SP
JAMEF TRANPORTES LTDA,JAMEF TRANSPORTES,20.147.617/0022-76,114387171114,RUA MIGUEL MENTEM  ,PRÓXIMO AO SHOPPING LAR CENTER,500,VILA GUILHERME,SAO PAULO,02050-010,SP
JAGUARE TRANSPORTES E ARMAZENAGENS LTDA ME,JAGUARE TRANSPORTES E ARMAZENAGENS LTDA,02.365.289/0001-78, 336.812.499.114,RUA MINEIRA,,870,VILA ESPLANADA,GUARULHOS,07043-120,SP
JADLOG LOGISTICA S.A,JADLOG LOGISTICA LTDA,04.884.082/0001-35,149.744.148.111,AVENIDA JORNALISTA PAULO ZINGG,,810,SÃO DOMINGUES,SÃO PAULO,05157-030,SP
JADLOG LOGISTICA LTDA,JADLOG LOGISTICA LTDA,04.884.082/0011-07,9042192829,RUA AMERICO FIRMINO DE TOLEDO,GALPAO 8,840,UBERABA,CURITIBA,81580-450,PR
JADLOG LOGISTICA E TAXI AEREO LTDA,JADLOG LOGISTICA E TAXI AEREO LTDA,04.884.082/0013-79,0963340506,AVENIDA A. J. RENNER,,2655,HUMAITA,PORTO ALEGRE,90250-000,RS
JACOBINA TRANSPORTES DE CARGAS LTDA - ME,JR TRANSPORTES,06.036.129/0002-17,336631485117,AV:  ROCHEDO DE MINAS,TRAVESSA DA JUSTINO DE MAIO,85,CIDADE INDUSTRIAL SATELITE,GUARULHOS,07222-200,SP
J.SAMER S TRANSPORTES E SERVICOS LTDA - ME,J. SAMER'S TRANSP. E SERVICOS LTDA,02.678.765/0001-00,149.724.616-113,RUA TERCEIRO-SARGENTO JOAO SOARES DE FARIA,SALA 03,403,PARQUE NOVO MUNDO,SAO PAULO,02179-020,SP
"J.H. METAIS, CROMO E OURO EM ABS LTDA - ME",J.H METAIS CROMO,09.603.646/0001-38,600.137.395-111,AV GETULIO VARGAS ,,25,JD ELIZABETH,SALTO,13360-000,SP
J.D TRANSPORTES E LOGISTICA EIRELI - ME,JD,19.831.250/0001-00,796.204.833.115,RUA SANTA EFIGENIA,,100,VILA PARAISO,GUARULHOS,07242-100,SP
J. SEDA NETO TRANSPORTES LTDA,NOVO VALE TRANSPORTES,06.349.754/0001-38,140402077118,AVENIDA TENENTE JOSE JERONIMO DE MESQUITA,,619,PARQUE NOVO MUNDO,SAO PAULO,02146-000,SP
J&T EXPRESS BRAZIL LTDA.,J&T EXPRESS BRAZIL LTDA.,42.584.754/0010-77,261500180,RODOVIA BR-101,,101,VILA NOVA,JOINVILLE,89237-005,SC
J&T EXPRESS BRAZIL LTDA.,J&T EXPRESS BRAZIL LTDA.,42.584.754/0075-12,799648004116,RUA ONEDA,,435,VILA ARMANDO BONDIOLI,SAO BERNARDO DO CAMPO,09895-280,SP
J SERVICE TRANSPORTES LTDA (11) 24121695,J SERVICE,11.032.114/0002-10,796094373115,AVENIDA NOVA CUMBICA,,627,VILA NOVA CUMBICA,GUARULHOS,07231-000,SP
J LOG TRANSPORTES LTDA ,J LOG TRANSPORTES LTDA ,29.324.765/0001-69,797341987115,AVENIDA BRASIL,,870,VILA ELISA,RIBEIRAO PRETO,14075-030,SP
J L B TORRES ENTREGA RAPIDA LTDA,J L B TORRES ENTREGA RAPIDA LTDA - TRANSKRREIRA,34.333.766/0002-90,127867691116,RUA BELA VISTA DO PARAISO,SALA  04                  GALPAO11,1782,JARDIM PRESIDENTE DUTRA,GUARULHOS,07171-000,SP
J J 2000 TRANSPORTES - EIRELI ,J J 2000 TRANSPORTES - EIRELI ,82.406.679/0002-69,336.759.222.111,VIELA INUBIA PAULISTA,GALPAO 13 E 14,03,JARDIM CUMBICA,GUARULHOS,07180-041,SP
J G INDUSTRIA METALURGICA LTDA *INAPTA*,J G INDUSTRIA METALURGICA LTDA ,96.350.681/0001-97,113656328115,AV HENRY FORD,,870,PARQUE DA MOOCA,SÃO PAULO,03109-000,SP
J A W TRANSPORTES DE CARGAS LTDA,J A W TRANSPORTES DE CARGAS LTDA,33.812.468/0004-82,127351278114,RUA INUBIA PAULISTA,GALPAO ASA 1 MODULO 86,3,JARDIM CUMBICA,GUARULHOS,07180-041,SP
J A DOS SANTOS TRANSPORTES LTDA,J&amp;J TRANSPORTES,15.751.024/0002-30,123.189.927.116,RUA SOLDADO ANTONIO APARECIDO,,256,PARQUE NOVO MUNDO,SAO PAULO,02187-020,SP
IVO TERRUGGI JUNIOR TRANSPORTES RODOVIARIOS EIRELI,IVO TERRUGGI JUNIOR TRANSPORTES RODOVIARIOS EIRELI,32.017.935/0001-77,796.811.492.114,RUA CECILIA ROIZEN,LOTE 19,173,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-020,SP
IVATRAS TRANSP. RODOV. DE CARGAS LTDA-ME,IVATRAS TRANSP. RODOV. DE CARGAS LTDA-ME,08.053.997/0001-50,278154870111,ESTRADA DO CAPUAVA,,1821,JARDIM SAO VICENTE,COTIA,06713-630,SP
IVANI ADOLFO ESTANISLAU ME 1,IVANI ADOLFO ESTANISLAU ME 1,21.245.939/0001-96,145963990117,RUA AMÉRICO SUGAI,,377,VILA JACUÍ,SÃO PAULO,08060-380,SP
IURY GUARU TRANSPORTES LTDA,IURY GUARU,04.156.577/0001-48,336.666.118.113,AVENIDA PAPA JOAO PAULO I,,6211,BOM SUCESSO,GUARULHOS,07170-350,SP
ITAQUA TRANSPORTE RAPIDO ITAQUA EIRELI - EPP (VELO CARGAS),ITAQUA - RAPIDO ITAQUA LTDA,03.610.402/0001-04,336.504.492-110,RUA PASCHOAL ZIMBARDI,,270,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-107,SP
ITACOLOMY TRANSPORTADORA LT,ITACOLOMY TRANSPORTES LTDA,17.245.895/0002-08,111075889114,RUA ANTONIO FONSECA,,646,VL MARIA BAIXA,SAO PAULO,02112-010,SP
IRENE DE ANGELIS DOS SANTOS - ME,JD FERRAGENS,19.972.649/0001-00,181.211.709.112,AV PADRE JOSE DE ANCHIETA,,1141,JARDIM HIGIENOPOLIS,ARARAQUARA,14807-249,SP
IRAPURU TRANSPORTES EIRELI,IRAPURU TRANSPORTES LTDA,88.668.298/0049-06,ISENTO,AVENIDA EDGAR LOPES DE FARIAS,SALA: A;,7223,NUCLEO INDUSTRIAL,CAMPO GRANDE,79108-596,MS
INTRALOG TRANSPORTES E LOGISTICA EIRELI,INOVAR TRANSPORTES E LOGISTICA,32.964.399/0001-17,796.861.198.116,RUA CARLOPOLIS,,181,CIDADE PARQUE SAO LUIZ,GUARULHOS,07170-540,SP
INTRACARGO TRANSPORTES LTDA,INTRACARGO TRANSPORTES LTDA,05.911.234/0005-38,336613520115,RUA ESTRELA DO OESTE,,124,PARQUE INDUSTRIAL DO JARDIM SAO GER,GUARULHOS,07140-030,SP
INTERCARGO TRANSPORTES LTDA,INTERCARGO TRANSPORTES LTDA,83.867.481/0001-64,251778665,RUA CACHOEIRA,,67,BOA VISTA,JOINVILLE,89205-070,SC
INTEGRACAO TRANSPORTES LTDA - EPP,INTEGRACAO TRANSPORTES,08.133.373/0001-42,336.164.238-114,AVENIDA PATOS,,795,CUMBICA,GUARULHOS,07222-010,SP
INDUSTRIAS PGG - TECNOLOGIA EM ARAMES E CABOS ESPECIAIS LTDA ,INDUSTRIAS PGG - TECNOLOGIA EM ARAMES E CABOS ESPECIAIS LTDA,22.401.311/0001-03,669.899.842.111,AV VICTOR ANDREW,BLOCO: IX;	,585,ZONA INDUSTRIAL 	,SOROCABA,18086-390,SP
INDUSTRIA METALURGICA M.Z. LTDA ,INDUSTRIA METALURGICA M.Z. LTDA ,58.538.745/0001-99,581.052.358.110,RODOVIA INDIO TIBIRICA,KM 31,368,PONTE SECA,RIBEIRAO PIRES,09411-500,SP
INDUFIX IND E COM LTDA,INDUFIX IND E COM LTDA,62.173.661/0001-76,112621743115,RUA DOS ALPES,,181,CAMBUCI,SAO PAULO,01520-030,SP
IMPLASTEC PLASTICOS TECNICOS E LUBRIFIC ESPECIAIS LTDA,IMPLASTEC PLASTICOS TECNICOS E LUBRIFIC ESPECIAIS LTDA,52.891.405/0001-60,717.011.994.118,AVENIDA ADOLPHO MASSAGLIA,,655,VOSSOROCA,VOTORANTIM,18116-175,SP
IGUACU TRANSPORTE E LOGISTICA LTDA,IGUACU TRANSPORTE E LOGISTICA LTDA,34.992.472/0002-70,127.140.295.112,RUA BELMIRO BRAGA,,100,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-110,SP
IGUACU LOG TRANSPORTES LTDA,IGUACU LOG TRANSPORTES LTDA,15.653.368/0001-26,336.998.779.116,RUA BELMIRO BRAGA,,100,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-110,SP
IDEIA DE MINAS TRANSPORTES LTDA  ( USAR O CODIGO 8952 ),IDEIA DE MINAS ,18.875.053/0001-11,142.800.186.112,TERMINAL DE CARGAS FERNAO DIAS,QUADRA 5 BLOCO 6,374,JARDIM JULIETA,SAO PAULO,02162-030,SP
IDEIA DE MINAS TRANSPORTES LTDA,IDEIA DE MINAS TRANSPORTES ,32.368.620/0001-74,123.420.994.110,RUA GASPAR COSTA,QUADRA 4 BOX 14,225,JARDIM JULIETA,SAO PAULO,02162-140,SP
IDEALLOG TRANSPORTES EIRELI,IDEALLOG TRANSPORTES EIRELI,34.607.140/0001-44,126.606.894.112,AVENIDA TENENTE AMARO FELICISSIMO DA SILVEIRA,,1606,PARQUE NOVO MUNDO,SAO PAULO,02177-000,SP
IDEALIZA TRANSPORTES EIRELI,IDEALIZA TRANSPORTES EIRELI,31.716.355/0001-05,123084629117,AVENIDA TENENTE AMARO FELICISSIMO DA SILVEIRA,,1606,PARQUE NOVO MUNDO,SAO PAULO,02177-000,SP
IDEAL SOLUCOES EM TRANSPORTES E LOGISTICA LTDA,IDEAL SOLUCOES EM TRANSPORTES E LOGISTICA LTDA,31.702.006/0001-34,535907850114,RUA HENRIQUE BEGO,GALPAO03,2111,CAMPESTRE,PIRACICABA,13401-777,SP
IDEAL CARGAS SP TRANSPORTES EIRELI,IDEAL CARGAS SP TRANSPORTES EIRELI,33.194.157/0001-54,ISENTO,RUA TERCEIRO-SARGENTO JOAO SOARES DE FARIA,,267,PARQUE NOVO MUNDO,SAO PAULO,02179-020,SP
I9 TRANSPORTADORA LTDA (NOVA ERA),I9 TRANSPORTADORA LTDA (NOVA ERA),19.858.459/0002-30,129.621.360.117,RUA SOLDADO ANESIO ANTAO FERREIRA,GALPAO170,250,JARDIM JAPAO,SAO PAULO,02142-000,SP
HTL TRANSPORTES LTDA (HORUS TRANSPORTES),HTL TRANSPORTES LTDA (HORUS TRANSPORTES),17.927.431/0002-81,127.046.730.114,AVENIDA NARAIN SINGH,,1300,CIDADE ARACILIA,GUARULHOS,07250-000,SP
HORIUN TRANSPORTES LTDA - EPP,HORIUM TRANS.,05.101.509/0001-44,116.386.340.110,R: DIAS DA SILVA,,1483,VILA MARIA,SAO PAULO,02114-002,SP
HMB TRANSPORTES LTDA,HMB TRANSPORTES LTDA,36.039.218/0002-88,127.345.310.111,RUA ITAQUARA,LOTE  13                  QUADRACH12,498,JARDIM PRESIDENTE DUTRA,GUARULHOS,07172-170,SP
HJT TRANSPORTES &amp; LOGISTICA LTDA,HJT TRANSPORTES,07.130.717/0001-05,127797540118,CAMINHO DO CAMPO DO RINCAO,LOJA  02,S/N,JARDIM CUMBICA,GUARULHOS,07240-330,SP
HI-TEC INDUSTRIA E COM DE PRODUTOS QUIMICOS LTDA ,HI-TEC INDUSTRIA E COM DE PRODUTOS QUIMICOS LTDA ,53.763.009/0003-82,451.048.333.115,AV EMILIO COSSETI ,,2168,MOREIRA ,MIRASSOL,15130-000,SP
HINE DO BRASIL INDUSTRIA E COMERCIO DE HIDRAULICOS E PNEUMATICOS LTDA.,HINE DO BRASIL INDUSTRIA E COMERCIO HIDRAULICA E PNEUMATICA,12.482.538/0001-69,353.104.364.111,AVENIDA VITORIA ROSSI MARTINI,,344,COMERCIAL VITORIA MARTINI,INDAIATUBA,13347-613,SP
HIDRARA IMPORT. E EXPORT. DE CONEXOES E EQUIPAMENTOS LTDA,HIDRARA CONEXOES,65.601.387/0001-87,181087282119,AVENIDA ENGENHEIRO CAMILO DINUCCI,,4101,JARDIM REGINA,ARARAQUARA,14808-100,SP
HI TEC DE ARARAQUARA ELETRONICA LT,ELETRICA HI TEC DE ARARAQUARA,38.947.040/0001-18,181083046119,RUA 9 DE JULHO,,1297,CENTRO,ARARAQUARA,14801-295,SP
